URL,Title,Views,Likes,Dislikes,Channel Name,Subscribers,Publish Date
https://www.youtube.com/watch?v=U_bZhyQEPz4,آلسی برہمن | The Lazy Brahmin Story in Urdu | Stories in Urdu | Urdu Fairy Tales,"232,420",976,182,Urdu Fairy Tales,398K,"Jul 3, 2018"
https://www.youtube.com/watch?v=YKhu2Uqmh00,"Best cricket match in the history of tapeball cricket, Khuram Chakwal vs Achi but, 2018 sialkot","185,378","1,964",167,Sports PK,2.9K,"Jun 3, 2018"
https://www.youtube.com/watch?v=svVfo34U4iI,Top 20 Ronaldo Goals That Shocked The World,"5,659,184","29,249","1,990",mr bundesteam,650K,"Nov 29, 2017"
https://www.youtube.com/watch?v=F7hxUFPuxJA,Pakistan vs New Zealand 1992 World Cup Semi Final Highlights HD (Rare),"1,806,175","4,976",951,MSZ,126K,"Feb 18, 2018"
https://www.youtube.com/watch?v=CaXBZxMaugM,Real Madrid vs Barcelona 0-3 - La Liga 2017/2018 - Full Highlgihts (English Commentary) HD 1080i,"2,634,438","12,929","1,414",GugaTV,574K,"Apr 18, 2018"
https://www.youtube.com/watch?v=6rzlfG6Xkg0,England Smash World Record 481-6 | England v Australia 3rd ODI 2018 - Highlights,"9,914,023","66,647","4,646",England &amp; Wales Cricket Board,689K,"Jun 19, 2018"
https://www.youtube.com/watch?v=6MO--7vi9GI,Sharjeel Khan 74 Runs Off 47 Balls vs Australia - Pakistan vs Australia 4th ODI 2017,"570,386","2,411",260,Cricket Highlights,,"Jan 16, 2018"
https://www.youtube.com/watch?v=c-EU5FxQwjI,Portugal vs Estonia 7-0 | All Goals & Extended Highlights,"4,386,483","23,429","2,588",mr bundesteam,650K,"Jun 9, 2018"
https://www.youtube.com/watch?v=MrsRN07EnJw,The King Of Swing At His Best: Anderson Takes Brilliant 7-43 v New Zealand 2008 - Full Highlights,"1,411,047","10,855",580,England &amp; Wales Cricket Board,689K,"Mar 26, 2018"
https://www.youtube.com/watch?v=9pr_bSw0Ng0,Muhammad Amir Destroyed Australian Batting W W W W W W W T20 Series 2010,"9,449,359","23,260","8,901",MSZ,126K,"Sep 24, 2017"
https://www.youtube.com/watch?v=G0Zbm7OIe9E,All out 59 & 53- worst team batting ever in a test match. Pakistan shamed.,"2,493,729","5,819","1,221",robelinda2,337K,"Jan 11, 2012"
https://www.youtube.com/watch?v=zpHGzIHCoCA,ICC #WT20 Australia vs Pakistan Match Highlights,"6,470,026","12,274","2,187",ICC,968K,"Mar 25, 2016"
