URL,Title,Views,Likes,Dislikes,Channel Name,Subscribers,Publish Date
https://www.youtube.com/watch?v=42RXS3b38_A,Pakistan vs Australia | 2nd T20 | Tri Series | Full Match Highlighs,304600,1196,191,Ptv Sports Official,1.2M,Jul 3 2018
https://www.youtube.com/watch?v=r2gFrIPnuP4,Super Over || Pakistan Vs Australia || 2nd T20 Match || 2012,736567,3067,770,PTV Cricket,,Apr 19 2018
https://www.youtube.com/watch?v=pE7IrP0f7x8,Interpol Kay Zariye Ishaq Daar Ki Wapsi - Khabardar with Aftab Iqbal,141535,1189,86,Khabardar with Aftab Iqbal,576K,Jun 27 2018
https://www.youtube.com/watch?v=fJ9rUzIMcZQ,Queen - Bohemian Rhapsody (Official Video),576628975,2912498,109426,Queen Official,4.7M,Aug 1 2008
https://www.youtube.com/watch?v=52IIohR7PAs,35 Most Humiliating Goals In Football,8988078,52177,5052,SportsHD,1M,Jan 12 2018
https://www.youtube.com/watch?v=YjTT-T6_miA,Boku No Hero Academia season 2 - Midoriya Vs Todoroki Full Fight,207578,1206,156,Fan Anime HD,4K,Nov 22 2017
https://www.youtube.com/watch?v=kYIf8I1dvdo,Brazil v Mexico - 2018 FIFA World Cup Russia™ - Match 53,15776402,99508,8744,FIFATV,6M,Jul 2 2018
https://www.youtube.com/watch?v=VXMpEf1d5t8,33 Best World Cup Goals,1278452,12892,809,SportsHD,1M,May 25 2018
https://www.youtube.com/watch?v=cz3uUp1QHPY,Simon Cowell Best Insults PART 1 | SAVAGE,2962623,22404,1037,Turbo Entertainment,151K,Nov 18 2016
https://www.youtube.com/watch?v=6MO--7vi9GI,Sharjeel Khan 74 Runs Off 47 Balls vs Australia - Pakistan vs Australia 4th ODI 2017,571038,2414,260,Cricket Highlights,,Jan 16 2018
https://www.youtube.com/watch?v=G9VAQge5orQ,Pakistan vs Australia T20 Match 2010 Thrilling Finish,1336054,4834,1035,MSZ,126K,Mar 3 2018
https://www.youtube.com/watch?v=yhfnWjp7OL8,Yuvraj Singh 12 balls fifty world record!!!!   ravindar nagar,4370371,19556,2483,PAPPI GURJAR,17K,Apr 2 2016
https://www.youtube.com/watch?v=91YGsDA4Ejo,Kapil Annoys His Teacher | Comedy Circus Ka Naya Daur,11926633,49457,5154,SET India,26M,Dec 18 2017
https://www.youtube.com/watch?v=N9COy7O7K-U,SHOCKINGLY OFFENSIVE AUDITIONS Have Simon Cowell In A Rage! | ANGRY JUDGES | X Factor Global,5308635,50558,3004,X Factor Global,1.2M,Nov 29 2017
https://www.youtube.com/watch?v=fJeJuc27ggE,Belgium v Japan - 2018 FIFA World Cup Russia™ - Match 54,12562557,87621,4580,FIFATV,6M,Jul 2 2018
https://www.youtube.com/watch?v=ELtyFdsheAc,Shahid 'BOOM BOOM' Afridi 29 OFF 10 Balls vs Australia 2009/10 HD,1933834,4447,986,Trevor Byers Cricket,232K,Oct 12 2011
https://www.youtube.com/watch?v=rvOIgrVZAms,Simon Cowell Best Insults PART 2 | SAVAGE,794235,6793,258,Turbo Entertainment,151K,Dec 5 2016
https://www.youtube.com/watch?v=OoI57NeMwCc,At the Hospital | Funny Clip | Mr. Bean Official,81830184,211817,32585,Mr. Bean,8M,Aug 25 2009
https://www.youtube.com/watch?v=S41ovMZ03x8,8 AWESOME COCA COLA TRICKS!,100263657,311962,117467,LHack TV,821K,Dec 27 2017
https://www.youtube.com/watch?v=ARM42-eorzE,INSANE Domino Tricks! (Hevesh5 & MillionenDollarBoy),112174363,763517,28156,Hevesh5,1.8M,Nov 10 2013
https://www.youtube.com/watch?v=uRiYtW1KRdo,"American Idol Audition - Keith Beukelaer - ""Like A Virgin""/""I Wanna Dance With Somebody""",1163630,7736,371,FJNDCC,2.1K,Jun 20 2010
https://www.youtube.com/watch?v=9jRtpMKLsts,Pokémon: Let's Go Pikachu! and Pokémon: Let's Go Eevee! Trailer,13045613,248398,28787,The Official Pokémon YouTube channel,2.5M,May 29 2018
https://www.youtube.com/watch?v=_Fwf45pIAtM,Saad Lamjarred - LM3ALLEM (Exclusive Music Video) |  (سعد لمجرد - لمعلم (فيديو كليب حصري,639530910,2967450,342260,Saad Lamjarred | سعد لمجرد,5.1M,May 2 2015
https://www.youtube.com/watch?v=W64c3L8N0aw,Judges BUZZ TOO EARLY On Britain's Got Talent! | Top Talent,11331040,108239,6883,Top Talent,804K,Jun 20 2018
