URL,Title,Views,Likes,Dislikes,Channel Name,Subscribers,Publish Date
https://www.youtube.com/watch?v=42RXS3b38_A,Pakistan vs Australia | 2nd T20 | Tri Series | Full Match Highlighs,"133,540",667,109,Ptv Sports Official,1.2M,"Jul 3, 2018"
https://www.youtube.com/watch?v=yhfnWjp7OL8,"Yuvraj Singh 12 balls fifty, world record!!!!   ravindar nagar","4,309,790","19,364","2,443",PAPPI GURJAR,17K,"Apr 2, 2016"
https://www.youtube.com/watch?v=fJ9rUzIMcZQ,Queen - Bohemian Rhapsody (Official Video),"575,927,160","2,909,037","109,249",Queen Official,4.7M,"Aug 1, 2008"
https://www.youtube.com/watch?v=fJeJuc27ggE,Belgium v Japan - 2018 FIFA World Cup Russia™ - Match 54,"11,948,344","85,281","4,352",FIFATV,6M,"Jul 2, 2018"
https://www.youtube.com/watch?v=kYIf8I1dvdo,Brazil v Mexico - 2018 FIFA World Cup Russia™ - Match 53,"15,062,588","97,149","8,375",FIFATV,6M,"Jul 2, 2018"
https://www.youtube.com/watch?v=ELtyFdsheAc,Shahid 'BOOM BOOM' Afridi 29 OFF 10 Balls vs Australia 2009/10 HD,"1,930,035","4,438",984,Trevor Byers Cricket,231K,"Oct 12, 2011"
https://www.youtube.com/watch?v=VXMpEf1d5t8,33 Best World Cup Goals,"1,224,906","12,624",788,SportsHD,1M,"May 25, 2018"
https://www.youtube.com/watch?v=pE7IrP0f7x8,Interpol Kay Zariye Ishaq Daar Ki Wapsi - Khabardar with Aftab Iqbal,"128,778","1,120",82,Khabardar with Aftab Iqbal,575K,"Jun 27, 2018"
https://www.youtube.com/watch?v=52IIohR7PAs,35 Most Humiliating Goals In Football,"8,850,640","51,464","4,977",SportsHD,1M,"Jan 12, 2018"
https://www.youtube.com/watch?v=YjTT-T6_miA,Boku No Hero Academia season 2 - Midoriya Vs Todoroki Full Fight,"201,204","1,149",151,Fan Anime HD,4K,"Nov 22, 2017"
https://www.youtube.com/watch?v=91YGsDA4Ejo,Kapil Annoys His Teacher | Comedy Circus Ka Naya Daur,"11,863,610","49,161","5,109",SET India,26M,"Dec 18, 2017"
https://www.youtube.com/watch?v=cz3uUp1QHPY,Simon Cowell Best Insults PART 1 | SAVAGE,"2,959,330","22,357","1,036",Turbo Entertainment,151K,"Nov 18, 2016"
https://www.youtube.com/watch?v=N9COy7O7K-U,SHOCKINGLY OFFENSIVE AUDITIONS Have Simon Cowell In A Rage! | ANGRY JUDGES | X Factor Global,"5,259,557","50,086","2,977",X Factor Global,1.1M,"Nov 29, 2017"
https://www.youtube.com/watch?v=G9VAQge5orQ,Pakistan vs Australia T20 Match 2010 Thrilling Finish,"1,304,131","4,799","1,028",MSZ,125K,"Mar 3, 2018"
https://www.youtube.com/watch?v=uRiYtW1KRdo,"American Idol Audition - Keith Beukelaer - ""Like A Virgin""/""I Wanna Dance With Somebody""","1,162,614","7,726",371,FJNDCC,2.1K,"Jun 20, 2010"
https://www.youtube.com/watch?v=W64c3L8N0aw,Judges BUZZ TOO EARLY On Britain's Got Talent! | Top Talent,"10,834,756","104,148","6,615",Top Talent,795K,"Jun 20, 2018"
https://www.youtube.com/watch?v=_Fwf45pIAtM,Saad Lamjarred - LM3ALLEM (Exclusive Music Video) |  (سعد لمجرد - لمعلم (فيديو كليب حصري,"639,145,904","2,964,609","342,068",Saad Lamjarred | سعد لمجرد,5.1M,"May 2, 2015"
https://www.youtube.com/watch?v=ARM42-eorzE,INSANE Domino Tricks! (Hevesh5 & MillionenDollarBoy),"112,122,893","763,158","28,139",Hevesh5,1.8M,"Nov 10, 2013"
https://www.youtube.com/watch?v=OoI57NeMwCc,At the Hospital | Funny Clip | Mr. Bean Official,"81,404,957","209,782","32,294",Mr. Bean,7.9M,"Aug 25, 2009"
https://www.youtube.com/watch?v=S41ovMZ03x8,8 AWESOME COCA COLA TRICKS!,"100,140,623","311,467","117,228",LHack TV,820K,"Dec 27, 2017"
https://www.youtube.com/watch?v=rvOIgrVZAms,Simon Cowell Best Insults PART 2 | SAVAGE,"793,281","6,777",258,Turbo Entertainment,151K,"Dec 5, 2016"
https://www.youtube.com/watch?v=9jRtpMKLsts,"Pokémon: Let's Go, Pikachu! and Pokémon: Let's Go, Eevee! Trailer","12,967,931","248,019","28,682",The Official Pokémon YouTube channel,2.5M,"May 29, 2018"
